,player_id,display_name,entry_year,last_name_initial
292,00-0021604,Israel Idonije,2004,I
162,00-0018605,Corey Ivy,2001,I
426,00-0024100,Brian Iwuh,2006,I
219,00-0020082,Chidi Iwuoma,2001,I
265,00-0021033,Grant Irons,2002,I
470,00-0025753,James Ihedigbo,2008,I
58,00-0008075,Larry Izzo,1996,I
310,00-0021952,Todd Johnson,2004,J
64,00-0008823,Mike A. Jones,1991,J
451,00-0024765,Ed Johnson,2007,J
330,00-0022366,Eddie Jackson,2004,J
367,00-0023195,Thomas Johnson,2005,J
580,00-0028598,M.D. Jennings,2011,J
348,00-0022828,Nate Jones,2004,J
467,00-0025719,Akeem Jordan,2007,J
65,00-0008941,Kerry Joseph,1998,J
291,00-0021583,Ade Jimoh,2003,J
446,00-0024714,Edgar Jones,1945,J
343,00-0022610,Spencer Johnson,2004,J
63,00-0008811,Lenoy Jones,1996,J
362,00-0023102,Herana-Daze Jones,2006,J
229,00-0020227,Tim Johnson,1987,J
617,00-0030771,Jackson Jeffcoat,2014,J
506,00-0026519,DJ Johnson,(OLB),J
284,00-0021504,Jamaal Jackson,2005,J
59,00-0008202,Tyoka Jackson,1994,J
542,00-0027350,A.J. Jefferson,2010,J
220,00-0020084,Ligarius Jennings,2001,J
193,00-0019392,Brandon Jennings,2000,J
484,00-0025993,Curtis Johnson,1970,J
523,00-0026798,Tim Jamison,2009,J
60,00-0008335,Billy Jenkins,1997,J
524,00-0026824,Bruce Johnson,2009,J
62,00-0008764,James Jones,1980,J
532,00-0027159,Jeremy Jarmon,2009,J
273,00-0021199,Joseph Jefferson,2002,J
190,00-0019356,Fred Jones,1987,J
61,00-0008594,Olrick Johnson,1999,J
398,00-0023729,Rashad Jeanty,2006,J
168,00-0018982,Eric Johnson,1977,J
400,00-0023754,T.J. Jackson,1966,J
236,00-0020384,William James,2001,J
597,00-0029378,Ishmaa'ily Kitchen,2012,K
334,00-0022504,Alain Kashama,2004,K
337,00-0022539,Tommy Kelly,2004,K
189,00-0019339,Cedric Killings,2000,K
69,00-0009357,Sammy Knight,1997,K
508,00-0026548,Mitch King,2010,K
588,00-0028742,Thomas Keiser,2011,K
214,00-0019993,Kevin Kaesviharn,2001,K
68,00-0009305,Travis Kirschke,1997,K
70,00-0009418,George Koonce,1992,K
67,00-0009115,Maurice Kelly,2000,K
604,00-0029975,Jordan Kovacs,2013,K
253,00-0020836,Brad Kassell,2002,K
256,00-0020867,Ma'ake Kemoeatu,2002,K
433,00-0024309,Freddy Keiaho,2006,K
66,00-0009001,N. D. Kalu,1997,K
601,00-0029649,Kyle Knox,2013,K
75,00-0010175,Rick Lyle,1994,L
611,00-0030254,Robert Lester,2013,L
261,00-0020995,D.D. Lewis,1968,L
74,00-0010029,James Logan,1995,L
499,00-0026200,Pat Lee,2008,L
73,00-0009971,Earl Little,1998,L
349,00-0022894,Travis LaBoy,2004,L
581,00-0028600,Jamari Lattimore,2011,L
585,00-0028678,LeQuan Lewis,2012,L
474,00-0025829,Doug Legursky,2009,L
72,00-0009833,Bashir Levingston,1999,L
76,00-0010196,Billy Lyon,1998,L
476,00-0025848,Roy Lewis,2017,L
490,00-0026028,Danny Lansanah,2008,L
374,00-0023287,Jim Leonhard,2005,L
496,00-0026089,Maurice Leggett,2008,L
412,00-0023903,Lance Laury,2006,L
71,00-0009659,Kwamie Lassiter,1995,L
179,00-0019136,Al Lucas,2000,L
176,00-0019104,Paris Lenon,2002,L
246,00-0020697,Antwan Lake,2002,L
