player_id,age
00-0022927,5
00-0022930,1
00-0023013,0
00-0023215,1
00-0023259,5
00-0023287,1
00-0023327,0
00-0023368,6
00-0023404,0
00-0023405,0
00-0023441,4
00-0023443,2
00-0023444,2
00-0023445,3
00-0023449,5
00-0023466,0
00-0023477,0
00-0023478,0
00-0023494,4
00-0023509,1
00-0023523,2
00-0023559,2
00-0023566,2
00-0023569,0
00-0023579,3
00-0023593,0
00-0023624,1
00-0023648,0
00-0023656,3
00-0023693,0
00-0023750,0
00-0024030,3
00-0024061,6
00-0024102,1
00-0024183,4
00-0024220,0
00-0024223,0
00-0024228,0
00-0024229,0
00-0024232,2
00-0024234,1
00-0024235,3
00-0024237,0
00-0024239,5
00-0024247,0
00-0024249,2
00-0024250,0
00-0024257,1
00-0024258,3
00-0024277,1
00-0024278,2
00-0024306,4
00-0024330,1
00-0024331,0
00-0024338,5
00-0024341,2
00-0024349,1
00-0024360,1
00-0024387,0
00-0024410,2
00-0024421,4
00-0024429,0
00-0024495,2
00-0025401,1
00-0025402,0
00-0025405,3
00-0025406,0
00-0025407,0
00-0025408,4
00-0025420,2
00-0025433,0
00-0025434,2
00-0025435,1
00-0025470,0
00-0025472,3
00-0025489,3
00-0025495,2
00-0025513,1
00-0025555,2
00-0025557,1
00-0025697,0
00-0025753,2
00-0025828,2
00-0025920,0
00-0025942,0
00-0026105,1
00-0026142,2
00-0026145,0
00-0026151,0
00-0026156,2
00-0026160,2
00-0026217,1
00-0026232,0
00-0026233,1
00-0026240,0
00-0026243,2
00-0026257,1
00-0026261,0
00-0026280,3
00-0026282,0
00-0026283,1
00-0026307,1
00-0026330,0
00-0026369,0
00-0026502,1
00-0026618,3
00-0026672,0
00-0026857,1
00-0026910,0
00-0026935,0
00-0026964,1
00-0026989,1
00-0026990,3
00-0026994,1
00-0027002,2
00-0027008,0
00-0027010,1
00-0027017,0
00-0027018,0
00-0027022,1
00-0027023,0
00-0027044,0
00-0027060,1
00-0027081,1
00-0027136,3
00-0027236,2
00-0027245,0
00-0027256,0
00-0027375,1
00-0027440,0
00-0027560,2
00-0027647,4
00-0027653,0
00-0027662,2
00-0027684,0
00-0027686,3
00-0027701,3
00-0027720,1
00-0027743,2
00-0027745,0
00-0027762,0
00-0027808,1
00-0027835,0
00-0027855,4
00-0027856,0
00-0027860,1
00-0027867,3
00-0027872,5
00-0027882,2
00-0027915,0
00-0027945,0
00-0027952,1
00-0027954,2
00-0027958,1
00-0027975,1
00-0027980,2
00-0027988,1
00-0028003,0
00-0028015,0
00-0028024,0
00-0028027,0
00-0028037,1
00-0028041,0
00-0028075,1
00-0028092,2
00-0028128,1
00-0028171,3
00-0028224,2
00-0028278,2
00-0028445,0
00-0028834,1
00-0028836,0
00-0028908,1
00-0029040,1
00-0029061,0
00-0029261,2
00-0029284,1
00-0029285,5
00-0029303,0
00-0029410,0
00-0029412,3
00-0029529,0
00-0029560,1
00-0029570,1
00-0029577,0
00-0029585,1
00-0029627,1
00-0029629,0
00-0029653,2
00-0029657,2
00-0029681,3
00-0029747,1
00-0029869,0
00-0029890,1
00-0029901,1
00-0030010,0
00-0030064,0
00-0030090,2
00-0030148,1
00-0030161,0
00-0030170,0
00-0030387,1
00-0030402,0
00-0030421,1
00-0030434,0
00-0030442,0
00-0030448,0
00-0030463,0
00-0030500,2
00-0030511,2
00-0030528,2
00-0030541,0
00-0030575,1
00-0030577,1
00-0030665,1
00-0030761,0
00-0030946,1
00-0030986,0
00-0031130,0
00-0031241,0
00-0031269,1
00-0031270,2
00-0031296,1
00-0031298,2
00-0031308,0
00-0031346,1
00-0031388,1
00-0031389,1
00-0031411,1
00-0031500,1
00-0031555,0
00-0031587,0
00-0031608,0
00-0031785,2
00-0031898,0
00-0031904,0
00-0031938,1
00-0032107,1
00-0032127,1
00-0032162,1
00-0032197,0
00-0032320,1
00-0032401,0
00-0032463,0
00-0032496,0
00-0032774,0
00-0032933,0
00-0033064,1
00-0033109,0
00-0033503,0
00-0033784,0
00-0033892,0
00-0033913,0
00-0034091,0
00-0034382,0
00-0034887,0
